Tournament,Type,Winner,url,season,tourn_id,prize_fund
2010 UK Championship,Ranking,John Higgins,https://cuetracker.net/tournaments/uk-championship/2010/18,2010,18,"GBP 624,500"
2010 World Seniors Championship,Invitational,Jimmy White,https://cuetracker.net/tournaments/world-seniors-championship/2010/22,2010,22,"GBP 50,000"
2010 World Open,Ranking,Neil Robertson,https://cuetracker.net/tournaments/world-open/2010/29,2010,29,"GBP 502,000"
2010 Shanghai Masters,Ranking,Ali Carter,https://cuetracker.net/tournaments/shanghai-masters/2010/30,2010,30,"GBP 318,600"
2010 Premier League,League,Ronnie O'Sullivan,https://cuetracker.net/tournaments/premier-league/2010/19,2010,19,"GBP 225,000"
2010 Wuxi Classic,Invitational,Shaun Murphy,https://cuetracker.net/tournaments/wuxi-classic/2010/39,2010,39,"GBP 55,000"
2012 World Championship,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/world-championship/2012/263,2011,263,"GBP 1,152,500"
2012 China Open,Ranking,Peter Ebdon,https://cuetracker.net/tournaments/china-open/2012/307,2011,307,"GBP 398,500"
2012 PTC Grand Final,Ranking,Stephen Lee,https://cuetracker.net/tournaments/ptc-grand-final/2012/321,2011,321,"GBP 242,000"
2012 World Open,Ranking,Mark Allen,https://cuetracker.net/tournaments/world-open/2012/265,2011,265,"GBP 387,300"
2012 Welsh Open,Ranking,Ding Junhui,https://cuetracker.net/tournaments/welsh-open/2012/294,2011,294,"GBP 201,500"
2012 German Masters,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/german-masters/2012/233,2011,233,"GBP 235,003"
2012 Snooker Shootout,Invitational,Barry Hawkins,https://cuetracker.net/tournaments/snooker-shootout/2012/284,2011,284,"GBP 130,000"
2012 Masters,Invitational,Neil Robertson,https://cuetracker.net/tournaments/masters/2012/271,2011,271,"GBP 500,000"
2012 Championship League,League,Ding Junhui,https://cuetracker.net/tournaments/championship-league/2012/262,2011,262,"GBP 180,100"
2011 UK Championship,Ranking,Judd Trump,https://cuetracker.net/tournaments/uk-championship/2011/222,2011,222,"GBP 625,000"
2011 Brazil Masters,Invitational,Shaun Murphy,https://cuetracker.net/tournaments/brazil-masters/2011/135,2011,135,"GBP 132,911"
2011 Shanghai Masters,Ranking,Mark Selby,https://cuetracker.net/tournaments/shanghai-masters/2011/53,2011,53,"GBP 350,000"
2011 Premier League,League,Ronnie O'Sullivan,https://cuetracker.net/tournaments/premier-league/2011/108,2011,108,"GBP 210,000"
2011 Australian Open,Ranking,Stuart Bingham,https://cuetracker.net/tournaments/australian-open/2011/52,2011,52,"GBP 289,000"
2011 Wuxi Classic,Invitational,Mark Selby,https://cuetracker.net/tournaments/wuxi-classic/2011/50,2011,50,"GBP 56,000"
